Distance_km, Speed_km/s, orbitType
8758.96080635354,11.2,Hyperbolic Orbit
8803.22726021988,11.2,Hyperbolic Orbit
8848.71883376603,11.2,Hyperbolic Orbit
8895.43267965479,11.2,Hyperbolic Orbit
8943.3659344223,11.2,Hyperbolic Orbit
8992.5157224832,11.2,Hyperbolic Orbit
9042.87916011431,11.2,Hyperbolic Orbit
9094.4533594111,11.2,Hyperbolic Orbit
9147.23543221111,11.2,Hyperbolic Orbit
9201.22249397902,11.2,Hyperbolic Orbit
9256.41166764829,11.2,Hyperbolic Orbit
9312.80008741433,11.2,Hyperbolic Orbit
9370.38490247494,11.2,Hyperbolic Orbit
9429.16328071337,11.2,Hyperbolic Orbit
9489.1324123204,11.2,Hyperbolic Orbit
9550.28951335139,11.2,Hyperbolic Orbit
9612.63182921508,11.2,Hyperbolic Orbit
9676.15663809097,11.2,Hyperbolic Orbit
9740.86125427233,11.2,Hyperbolic Orbit
9806.74303143246,11.2,Hyperbolic Orbit
9873.79936581161,11.2,Hyperbolic Orbit
9942.02769932281,11.2,Hyperbolic Orbit
10011.4255225746,11.2,Hyperbolic Orbit
10081.9903778095,11.2,Hyperbolic Orbit
10153.719861756,11.2,Hyperbolic Orbit
10226.6116283948,11.2,Hyperbolic Orbit
10300.6633916363,11.2,Hyperbolic Orbit
10375.8729279106,11.2,Hyperbolic Orbit
10452.2380786684,11.2,Hyperbolic Orbit
10529.7567527938,11.2,Hyperbolic Orbit
10608.4269289274,11.2,Hyperbolic Orbit
10688.2466577016,11.2,Hyperbolic Orbit
10769.2140638874,11.2,Hyperbolic Orbit
10851.3273484536,11.2,Hyperbolic Orbit
10934.5847905391,11.2,Hyperbolic Orbit
11018.984749339,11.2,Hyperbolic Orbit
11104.5256659058,11.2,Hyperbolic Orbit
11191.206064866,11.2,Hyperbolic Orbit
11279.0245560547,11.2,Hyperbolic Orbit
11367.9798360679,11.2,Hyperbolic Orbit
11458.0706897353,11.2,Hyperbolic Orbit
11549.295991514,11.2,Hyperbolic Orbit
11641.6547068057,11.2,Hyperbolic Orbit
11735.1458931981,11.2,Hyperbolic Orbit
11829.7687016328,11.2,Hyperbolic Orbit
11925.5223775015,11.2,Hyperbolic Orbit
12022.4062616719,11.2,Hyperbolic Orbit
12120.4197914456,11.2,Hyperbolic Orbit
12219.5625014493,11.2,Hyperbolic Orbit
12319.8340244622,11.2,Hyperbolic Orbit
12421.2340921808,11.2,Hyperbolic Orbit
12523.7625359226,11.2,Hyperbolic Orbit
12627.4192872722,11.2,Hyperbolic Orbit
12732.2043786701,11.2,Hyperbolic Orbit
12838.1179439475,11.2,Hyperbolic Orbit
12945.1602188084,11.2,Hyperbolic Orbit
13053.3315412606,11.2,Hyperbolic Orbit
13162.6323519985,11.2,Hyperbolic Orbit
13273.063194739,11.2,Hyperbolic Orbit
13384.6247165127,11.2,Hyperbolic Orbit
13497.3176679121,11.2,Hyperbolic Orbit
13611.1429032984,11.2,Hyperbolic Orbit
13726.1013809694,11.2,Hyperbolic Orbit
13842.1941632904,11.2,Hyperbolic Orbit
13959.4224167885,11.2,Hyperbolic Orbit
14077.7874122138,11.2,Hyperbolic Orbit
14197.290524568,11.2,Hyperbolic Orbit
14317.933233103,11.2,Hyperbolic Orbit
14439.7171212901,11.2,Hyperbolic Orbit
14562.6438767622,11.2,Hyperbolic Orbit
14686.7152912302,11.2,Hyperbolic Orbit
14811.9332603756,11.2,Hyperbolic Orbit
14938.2997837201,11.2,Hyperbolic Orbit
15065.8169644737,11.2,Hyperbolic Orbit
15194.4870093635,11.2,Hyperbolic Orbit
15324.3122284439,11.2,Hyperbolic Orbit
15455.2950348893,11.2,Hyperbolic Orbit
15587.4379447709,11.2,Hyperbolic Orbit
15720.7435768197,11.2,Hyperbolic Orbit
15855.2146521747,11.2,Hyperbolic Orbit
15990.8539941198,11.2,Hyperbolic Orbit
16127.6645278092,11.2,Hyperbolic Orbit
16265.6492799822,11.2,Hyperbolic Orbit
16404.81137867,11.2,Hyperbolic Orbit
16545.1540528932,11.2,Hyperbolic Orbit
16686.6806323529,11.2,Hyperbolic Orbit
16829.3945471153,11.2,Hyperbolic Orbit
16973.2993272909,11.2,Hyperbolic Orbit
17118.3986027096,11.2,Hyperbolic Orbit
17264.6961025915,11.2,Hyperbolic Orbit
17412.1956552153,11.2,Hyperbolic Orbit
17560.9011875844,11.2,Hyperbolic Orbit
17710.8167250914,11.2,Hyperbolic Orbit
17861.9463911819,11.2,Hyperbolic Orbit
18014.2944070184,11.2,Hyperbolic Orbit
18167.8650911443,11.2,Hyperbolic Orbit
18322.6628591494,11.2,Hyperbolic Orbit
18478.6922233368,11.2,Hyperbolic Orbit
18635.9577923919,11.2,Hyperbolic Orbit
18794.4642710543,11.2,Hyperbolic Orbit
18954.2164597929,11.2,Hyperbolic Orbit
19115.2192544846,11.2,Hyperbolic Orbit
19277.4776460966,11.2,Hyperbolic Orbit
19440.9967203739,11.2,Hyperbolic Orbit
19605.7816575314,11.2,Hyperbolic Orbit
19771.8377319508,11.2,Hyperbolic Orbit
19939.1703118838,11.2,Hyperbolic Orbit
20107.7848591604,11.2,Hyperbolic Orbit
20277.6869289044,11.2,Hyperbolic Orbit
20448.8821692541,11.2,Hyperbolic Orbit
20621.376321091,11.2,Hyperbolic Orbit
20795.1752177748,11.2,Hyperbolic Orbit
20970.2847848858,11.2,Hyperbolic Orbit
21146.7110399745,11.2,Hyperbolic Orbit
21324.4600923198,11.2,Hyperbolic Orbit
21503.5381426937,11.2,Hyperbolic Orbit
